identifiant_contrat;code_etablissement;code_produit;type_produit;date_ouverture;date_echeance;montant_initial;montant_restant_du;devise;type_taux;taux_dar;duree_initiale_mois;identifiant_tiers;statut_contrat;segment_clientele
C000001;ETB001;PRET_IMMO;CREDIT;2021-03-27;2027-12-14;409708.78;299508.08;EUR;VARIABLE;;300;T000417;CONTENTIEUX;ETI
C000002;ETB001;PEL;EPARGNE;2015-10-09;;166861.22;;EUR;;;;T000435;CONTENTIEUX;ETI
C000003;ETB001;PRET_IMMO;CREDIT;2017-03-26;2040-08-20;28188.98;5893.63;EUR;FIXE;2.5289;240;T000095;CLOTURE;
C000004;ETB001;PRET_IMMO;CREDIT;2020-03-07;2032-06-25;324083.31;284491.56;EUR;VARIABLE;;240;T000053;ACTIF;ETI
C000005;ETB001;DAV;DEPOT;2018-12-10;;232064.7;;EUR;;;;T000230;CONTENTIEUX;
C000006;ETB001;PRET_IMMO;DEPOT;2018-11-07;;401975.31;;EUR;FIXE;;;T000052;ACTIF;ETI
C000007;ETB001;CAT;DEPOT;2022-09-22;;383248.63;;EUR;;;;T000033;CONTENTIEUX;PME
C000008;ETB001;DECOUVERT;CREDIT;2022-03-11;2028-05-12;371205.31;123950.75;EUR;REVISABLE;;120;T000339;ACTIF;
C000009;ETB001;CAT;DEPOT;2022-10-29;;462147.96;;EUR;;;;T000499;CONTENTIEUX;
C000010;ETB001;PRET_CONSO;CREDIT;2018-01-30;2030-01-09;315259.52;173225.03;EUR;REVISABLE;;120;T000159;ACTIF;PARTICULIER
C000011;ETB001;PEL;EPARGNE;2015-01-05;;25015.24;;EUR;;;;T000164;ACTIF;PME
C000012;ETB001;CREDIT_BAIL;CREDIT;2020-12-03;2026-04-07;298110.55;110056.01;EUR;VARIABLE;;240;T000291;ACTIF;ETI
C000013;ETB001;PEL;EPARGNE;2021-04-10;;91118.08;;EUR;;;;T000047;ACTIF;PARTICULIER
C000014;ETB001;LIVRET_A;EPARGNE;2021-01-30;;1221.96;;EUR;;;;T000069;CLOTURE;
C000015;ETB001;DECOUVERT;CREDIT;2023-06-18;2029-12-31;217978.0;97358.92;EUR;FIXE;2.3939;60;T000185;ACTIF;ETI
C000016;ETB001;DECOUVERT;CREDIT;2021-12-05;;404116.69;70645.39;EUR;VARIABLE;;180;T000180;ACTIF;ETI
C000017;ETB001;CREDIT_BAIL;CREDIT;2020-03-31;2024-04-30;145922.17;129600.11;EUR;VARIABLE;;60;T000074;CONTENTIEUX;
C000018;ETB001;PEL;EPARGNE;2022-01-20;;496668.54;;EUR;;;;T000341;ACTIF;PARTICULIER
C000019;ETB001;PRET_CONSO;CREDIT;2020-02-23;2031-09-08;486396.94;327028.29;EUR;REVISABLE;;240;T000308;ACTIF;PME
C000020;ETB001;PRET_CONSO;CREDIT;2019-03-25;2031-10-30;129523.32;78702.13;EUR;FIXE;1.6255;180;T000454;ACTIF;PME
C000021;ETB001;PRET_CONSO;CREDIT;2016-12-26;2027-02-07;426535.8;352634.32;EUR;REVISABLE;;300;T000331;CLOTURE;PARTICULIER
C000022;ETB001;PRET_IMMO;CREDIT;2017-09-26;2031-04-24;355929.37;253156.97;EUR;REVISABLE;;300;T000216;CLOTURE;ETI
C000023;ETB001;CAT;DEPOT;2021-12-21;;350958.22;;EUR;;;;T000359;CONTENTIEUX;PARTICULIER
C000024;ETB001;PEL;EPARGNE;2021-06-08;;85997.77;;EUR;;;;T000227;CONTENTIEUX;PME
C000025;ETB001;CAT;DEPOT;2022-12-12;;137278.82;;EUR;;;;T000116;ACTIF;ETI
C000026;ETB001;CAT;DEPOT;2021-07-20;;123626.22;-1500.00;EUR;;;;T000083;ACTIF;PME
C000027;ETB001;PRET_CONSO;CREDIT;2023-08-01;2026-07-30;477075.06;428021.88;EUR;FIXE;2.3529;120;T000278;ACTIF;ETI
C000028;ETB001;PRET_CONSO;CREDIT;2020-01-27;2028-05-16;444052.77;252268.08;EUR;FIXE;4.2909;240;T000387;ACTIF;PARTICULIER
C000029;ETB001;PRET_IMMO;CREDIT;2017-04-15;2027-07-04;320224.07;182918.76;EUR;REVISABLE;;180;T000039;ACTIF;ETI
C000030;ETB001;CAT;DEPOT;2020-09-23;;349965.73;;EUR;;;;T000072;ACTIF;PME
C000031;ETB001;CREDIT_BAIL;CREDIT;2022-10-03;2025-11-01;73401.58;42894.04;EUR;VARIABLE;;300;T000351;ACTIF;ETI
