identifiant_tiers;type_tiers;raison_sociale;code_naf;pays_residence;segment_clientele;notation_interne;date_entree_relation;est_defaut;date_defaut
T000001;PERSONNE_PHYSIQUE;;;ITA;PME;A2;2021-09-18;false;
T000002;PERSONNE_MORALE;Client 2;18.56;GBR;PME;B1;2006-05-27;false;
T000003;ETABLISSEMENT_CREDIT;Client 3;40.97;DEU;ETI;B1;2014-02-17;false;
T000004;PERSONNE_MORALE;Client 4;88.29;GBR;ETI;A2;2003-03-06;false;
T000005;ETABLISSEMENT_CREDIT;Client 5;85.97;FRA;PARTICULIER;B2;2006-01-14;false;
T000006;PERSONNE_MORALE;Client 6;51.67;DEU;ETI;A1;2018-12-25;false;
T000007;PERSONNE_MORALE;Client 7;74.55;GBR;GRANDE_ENTREPRISE;C2;2018-11-29;false;
T000008;ETABLISSEMENT_CREDIT;Client 8;59.79;DEU;GRANDE_ENTREPRISE;D;2002-07-03;false;
T000009;ETABLISSEMENT_CREDIT;Client 9;20.94;ITA;GRANDE_ENTREPRISE;D;2013-05-03;false;
T000010;PERSONNE_MORALE;Client 10;40.38;ESP;ETI;;2003-09-12;true;2024-06-05
T000011;PERSONNE_MORALE;;69.50;FRA;GRANDE_ENTREPRISE;B1;2022-05-22;false;
T000012;PERSONNE_PHYSIQUE;;;ESP;PARTICULIER;A2;2009-11-10;false;
T000013;PERSONNE_MORALE;Client 13;96.86;ITA;PARTICULIER;B2;2023-10-30;true;2020-08-28
T000014;PERSONNE_PHYSIQUE;;;FRA;PME;C1;2012-01-25;false;
T000015;PERSONNE_PHYSIQUE;;;ITA;GRANDE_ENTREPRISE;B2;2017-01-17;false;
T000016;PERSONNE_PHYSIQUE;;;DEU;PROFESSIONNEL;B1;2023-09-28;false;
T000017;ETABLISSEMENT_CREDIT;Client 17;45.38;GBR;PARTICULIER;C1;2015-12-22;false;
T000018;ETABLISSEMENT_CREDIT;Client 18;10.39;GBR;PME;B2;2012-07-03;false;
T000019;PERSONNE_MORALE;Client 19;68.10;GBR;ETI;C2;2020-08-12;false;
T000020;PERSONNE_MORALE;Client 20;54.48;GBR;PME;D;2023-01-17;false;
