identifiant_titre;code_isin;type_titre;emetteur;valeur_nominale;valeur_marche;devise;date_emission;date_maturite
TI000001;FR0091261658;ACTION;T000324;6261.95;618.04;EUR;2012-04-06;2035-10-28
TI000002;FR0056530659;ACTION;T000301;4076.4;8127.2;EUR;2021-05-20;2026-12-22
TI000003;FR0019122313;OPCVM;T000449;262.59;8256.39;EUR;2010-02-28;2033-05-05
TI000004;FR0081992054;OBLIGATION;T000013;5580.79;5531.63;EUR;2017-08-14;2033-08-26
TI000005;FR0092848472;OBLIGATION;T000103;5551.31;1185.23;EUR;2010-08-15;2035-06-06
TI000006;FR0039446683;ACTION;T000376;1841.37;1926.83;EUR;2016-10-20;2028-07-26
TI000007;FR0069583668;TCN;T000111;1648.71;7221.33;EUR;2019-11-13;2028-07-17
TI000008;FR0098959270;ACTION;T000270;8378.8;2347.93;EUR;2015-03-10;2028-04-17
TI000009;FR0088815841;ACTION;T000410;8804.03;3262.42;EUR;2018-06-26;2026-06-01
TI000010;FR0096482475;OBLIGATION;T000146;7919.74;6037.26;EUR;2012-03-27;2031-09-08
TI000011;FR0047372854;TCN;T000094;494.52;4405.44;EUR;2014-03-04;2028-06-14
TI000012;FR0037668057;OBLIGATION;T000109;2247.32;8370.53;EUR;2015-12-09;2028-06-21
TI000013;FR0069426022;TCN;T000386;3071.37;6471.03;EUR;2015-03-13;2028-07-02
TI000014;FR0060719799;ACTION;T000158;3532.9;8052.12;EUR;2016-06-03;2035-09-25
TI000015;FR0052190487;TCN;T000253;4412.74;3107.23;EUR;2014-05-28;2032-04-06
TI000016;FR0061205752;TCN;T000349;3721.28;2049.86;EUR;2015-01-15;2032-06-28
TI000017;FR0080081975;OPCVM;T000401;4242.22;10589.79;EUR;2017-10-28;2033-04-07
TI000018;FR0040149465;TCN;T000011;6608.27;3940.77;EUR;2019-05-28;2031-02-07
TI000019;FR0044384334;TCN;T000406;1684.45;5223.92;EUR;2023-05-18;2035-12-19
TI000020;FR0086639767;TCN;T000194;8531.68;9521.62;EUR;2010-08-04;2031-08-28
TI000021;FR0061748291;TCN;T000232;3286.04;3553.3;EUR;2015-12-01;2025-05-04
TI000022;FR0068816725;OPCVM;T000084;359.78;1232.2;EUR;2015-01-05;2031-04-11
TI000023;FR0032187965;TCN;T000382;9155.99;11596.21;EUR;2017-11-19;2032-02-25
TI000024;FR0014580561;ACTION;T000393;5342.25;7874.86;EUR;2010-02-01;2031-08-04
TI000025;FR0042451963;ACTION;T000433;7318.14;11303.96;EUR;2015-03-13;2026-12-31
TI000026;FR0052694888;OPCVM;T000114;2690.02;2478.08;EUR;2011-04-24;2025-08-17
TI000027;FR0047629917;OPCVM;T000428;8255.07;1077.56;EUR;2013-08-18;2035-03-17
TI000028;FR0032430326;OPCVM;T000192;6241.56;6987.14;EUR;2023-06-30;2035-02-21
TI000029;FR0050625927;OPCVM;T000117;5530.93;5867.27;EUR;2011-04-29;2030-07-21
TI000030;FR0024421073;OBLIGATION;T000086;9187.25;5003.72;EUR;2014-11-15;2027-11-21
TI000031;FR0055890701;OBLIGATION;T000241;1916.78;4435.36;EUR;2014-07-24;2025-11-26
TI000032;FR0019677934;TCN;T000082;7284.59;6358.99;EUR;2018-01-03;2027-07-20
TI000033;FR0023451866;OBLIGATION;T000194;4489.54;8775.52;EUR;2011-06-27;2025-06-11
TI000034;FR0020970609;OBLIGATION;T000184;9017.83;11133.0;EUR;2018-10-20;2027-09-09
TI000035;FR0017969665;TCN;T000323;5767.71;4687.99;EUR;2012-05-09;2025-05-02
TI000036;FR0053981978;TCN;T000113;655.08;2547.46;EUR;2018-10-22;2031-10-16
TI000037;FR0041807578;OPCVM;T000195;5547.3;2033.32;EUR;2016-04-13;2033-11-25
TI000038;FR0063991950;OPCVM;T000027;347.95;3357.75;EUR;2012-12-08;2029-03-06
TI000039;FR0011223505;TCN;T000180;8767.39;7811.4;EUR;2021-11-01;2024-02-27
TI000040;FR0033100715;ACTION;T000242;1405.1;3617.61;EUR;2019-10-13;2024-01-16
TI000041;FR0059515417;OPCVM;T000443;3940.42;2831.64;EUR;2015-11-27;2035-09-20
TI000042;FR0058246747;OBLIGATION;T000058;1216.94;4436.63;EUR;2015-08-20;2034-12-24
TI000043;FR0013155972;ACTION;T000020;9979.69;3806.63;EUR;2015-02-14;2033-12-05
TI000044;FR0037125101;OBLIGATION;T000159;7275.5;5030.57;EUR;2012-09-19;2029-08-19
TI000045;FR0017085407;OBLIGATION;T000403;5719.13;10081.34;EUR;2020-10-31;2024-05-19
TI000046;FR0050663655;OPCVM;T000131;1656.24;6927.42;EUR;2021-03-31;2029-05-31
TI000047;FR0055615670;TCN;T000322;3954.93;8696.84;EUR;2015-01-08;2025-03-07
